AÑO,MES,QUINCENA,FECHA,CODIGO,PRECIO LECHE,VOLUMEN DIA,COSTOS FIJOS,COSTOS VARIABLES,PUNTO DE EQUILIBRIO,INGRESOS,COSTOS TOTALES,UTILIDAD,PORCENTAJE UTILIDAD
2017,1,1,2017-01-15,14,,,,,,,,,
2017,1,2,2017-01-31,14,,,,,,,,,
2017,1,1,2017-01-15,20,,3570.0,,,,,,,
2017,1,2,2017-01-31,20,,3570.0,,,,,,,
2017,1,1,2017-01-15,512,,5700.0,,,,,,,
2017,1,2,2017-01-31,512,,5700.0,,,,,,,
2017,1,1,2017-01-15,1082,,,,,,,,,
2017,1,2,2017-01-31,1082,,,,,,,,,
2017,1,1,2017-01-15,1093,,1184.0,,,,,,,
2017,1,2,2017-01-31,1093,,1184.0,,,,,,,
2017,2,3,2017-02-15,14,,,,,,,,,
2017,2,4,2017-02-28,14,,,,,,,,,
2017,2,3,2017-02-15,20,,3570.0,,,,,,,
2017,2,4,2017-02-28,20,,3570.0,,,,,,,
2017,2,3,2017-02-15,512,,5700.0,,,,,,,
2017,2,4,2017-02-28,512,,5700.0,,,,,,,
2017,2,3,2017-02-15,1082,,,,,,,,,
2017,2,4,2017-02-28,1082,,,,,,,,,
2017,2,3,2017-02-15,1093,,1184.0,,,,,,,
2017,2,4,2017-02-28,1093,,1184.0,,,,,,,
2017,3,5,2017-03-15,14,,,,,,,,,
2017,3,6,2017-03-31,14,,,,,,,,,
2017,3,5,2017-03-15,20,,3570.0,,,,,,,
2017,3,6,2017-03-31,20,,3570.0,,,,,,,
2017,3,5,2017-03-15,512,,5700.0,,,,,,,
2017,3,6,2017-03-31,512,,5700.0,,,,,,,
2017,3,5,2017-03-15,1082,,,,,,,,,
2017,3,6,2017-03-31,1082,,,,,,,,,
2017,3,5,2017-03-15,1093,,1184.0,,,,,,,
2017,3,6,2017-03-31,1093,,1184.0,,,,,,,
2017,4,7,2017-04-15,14,,3150.0,,,,,,,
2017,4,8,2017-04-30,14,,3150.0,,,,,,,
2017,4,7,2017-04-15,20,,,,,,,,,
2017,4,8,2017-04-30,20,,,,,,,,,
2017,4,7,2017-04-15,512,,,,,,,,,
2017,4,8,2017-04-30,512,,,,,,,,,
2017,4,7,2017-04-15,1082,,2064.0,,,,,,,
2017,4,8,2017-04-30,1082,,2064.0,,,,,,,
2017,4,7,2017-04-15,1093,,,,,,,,,
2017,4,8,2017-04-30,1093,,,,,,,,,
2017,5,9,2017-05-15,14,,3150.0,,,,,,,
2017,5,10,2017-05-31,14,,3150.0,,,,,,,
2017,5,9,2017-05-15,20,,,,,,,,,
2017,5,10,2017-05-31,20,,,,,,,,,
2017,5,9,2017-05-15,512,,,,,,,,,
2017,5,10,2017-05-31,512,,,,,,,,,
2017,5,9,2017-05-15,1082,,2064.0,,,,,,,
2017,5,10,2017-05-31,1082,,2064.0,,,,,,,
2017,5,9,2017-05-15,1093,,,,,,,,,
2017,5,10,2017-05-31,1093,,,,,,,,,
2017,6,11,2017-06-15,14,,3150.0,,,,,,,
2017,6,12,2017-06-30,14,,3150.0,,,,,,,
2017,6,11,2017-06-15,20,,,,,,,,,
2017,6,12,2017-06-30,20,,,,,,,,,
2017,6,11,2017-06-15,512,,,,,,,,,
2017,6,12,2017-06-30,512,,,,,,,,,
2017,6,11,2017-06-15,1082,,2064.0,,,,,,,
2017,6,12,2017-06-30,1082,,2064.0,,,,,,,
2017,6,11,2017-06-15,1093,,,,,,,,,
2017,6,12,2017-06-30,1093,,,,,,,,,
2017,7,13,2017-07-15,14,,3200.0,,,,,,,
2017,7,14,2017-07-31,14,,3200.0,,,,,,,
2017,7,13,2017-07-15,20,,3647.0,,,,,,,
2017,7,14,2017-07-31,20,,3647.0,,,,,,,
2017,7,13,2017-07-15,512,,5750.0,,,,,,,
2017,7,14,2017-07-31,512,,5750.0,,,,,,,
2017,7,13,2017-07-15,1082,,2353.0,,,,,,,
2017,7,14,2017-07-31,1082,,2353.0,,,,,,,
2017,7,13,2017-07-15,1093,,1540.0,,,,,,,
2017,7,14,2017-07-31,1093,,1540.0,,,,,,,
2017,8,15,2017-08-15,14,,3200.0,,,,,,,
2017,8,16,2017-08-31,14,,3200.0,,,,,,,
2017,8,15,2017-08-15,20,,3647.0,,,,,,,
2017,8,16,2017-08-31,20,,3647.0,,,,,,,
2017,8,15,2017-08-15,512,,5750.0,,,,,,,
